 Grade, Strand,Standard #,Synonym,Standard
K,RL,1,,"CC.K.R.L.1 Key Ideas and Details: With prompting and support, ask and answer questions about key details in a text."
K,RL,2,,"CC.K.R.L.2 Key Ideas and Details: With prompting and support, retell familiar stories, including key details."
K,RL,3,,"CC.K.R.L.3 Key Ideas and Details: With prompting and support, identify characters, settings, and major events in a story."
K,RL,4,,CC.K.R.L.4 Craft and Structure: Ask and answer questions about unknown words in a text.
K,RL,5,,"CC.K.R.L.5 Craft and Structure: Recognize common types of texts (e.g., storybooks, poems)."
K,RL,6,,"CC.K.R.L.6 Craft and Structure: With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
K,RL,7,,"CC.K.R.L.7 Integration of Knowledge and Ideas: With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
K,RL,9,,"CC.K.R.L.9 Integration of Knowledge and Ideas: With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
K,RL,10,,CC.K.R.L.10 Range of Reading and Level of Text Complexity: Actively engage in group reading activities with purpose and understanding.
1,RL,1,,CC.1.R.L.1 Key Ideas and Details: Ask and answer questions about key details in a text.
1,RL,2,,"CC.1.R.L.2 Key Ideas and Details: Retell stories, including key details, and demonstrate understanding of their central message or lesson."
1,RL,3,,"CC.1.R.L.3 Key Ideas and Details: Describe characters, settings, and major events in a story, using key details."
1,RL,4,,CC.1.R.L.4 Craft and Structure: Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
1,RL,5,,"CC.1.R.L.5 Craft and Structure: Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
1,RL,6,,CC.1.R.L.6 Craft and Structure: Identify who is telling the story at various points in a text.
1,RL,7,,"CC.1.R.L.7 Integration of Knowledge and Ideas: Use illustrations and details in a story to describe its characters, setting, or events."
1,RL,9,,CC.1.R.L.9 Integration of Knowledge and Ideas: Compare and contrast the adventures and experiences of characters in stories.
1,RL,10,,"CC.1.R.L.10 Range of Reading and Level of Text Complexity: With prompting and support, read prose and poetry of appropriate complexity for grade 1."
2,RL,1,,"CC.2.R.L.1 Key Ideas and Details: Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
2,RL,2,,"CC.2.R.L.2 Key Ideas and Details: Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral."
2,RL,3,,CC.2.R.L.3 Key Ideas and Details: Describe how characters in a story respond to major events and challenges.
2,RL,4,,"CC.2.R.L.4 Craft and Structure: Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song."
2,RL,5,,"CC.2.R.L.5 Craft and Structure: Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action."
2,RL,6,,"CC.2.R.L.6 Craft and Structure: Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud."
2,RL,7,,"CC.2.R.L.7 Integration of Knowledge and Ideas: Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot."
2,RL,9,,"CC.2.R.L.9 Integration of Knowledge and Ideas: Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures. "
2,RL,10,,"CC.2.R.L.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literature, including prose and poetry, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
3,RL,1,,"CC.3.R.L.1 Key Ideas and Details: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3,RL,2,,"CC.3.R.L.2 Key Ideas and Details: Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text."
3,RL,3,,"CC.3.R.L.3 Key Ideas and Details: Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events."
3,RL,4,,"CC.3.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language."
3,RL,5,,"CC.3.R.L.5 Craft and Structure: Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections."
3,RL,6,,CC.3.R.L.6 Craft and Structure: Distinguish their own point of view from that of the narrator or those of the characters.
3,RL,7,,"CC.3.R.L.7 Integration of Knowledge and Ideas: Explain how specific aspects of a text’s illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)."
3,RL,9,,"CC.3.R.L.9 Integration of Knowledge and Ideas: Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)."
3,RL,10,,"CC.3.R.L.10 Range of Reading and Complexity of Text: 10. By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2–3 text complexity band independently and proficiently."
4,RL,1,,CC.4.R.L.1 Key Ideas and Details: Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.
4,RL,2,,"CC.4.R.L.2 Key Ideas and Details: Determine a theme of a story, drama, or poem from details in the text; summarize the text."
4,RL,3,,"CC.4.R.L.3 Key Ideas and Details: Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character’s thoughts, words, or actions)."
4,RL,4,,"CC.4.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean)."
4,RL,5,,"CC.4.R.L.5 Craft and Structure: Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, setting descriptions, dialogue, stage directions) when writing or speaking about a text."
4,RL,6,,"CC.4.R.L.6 Craft and Structure: Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations."
4,RL,7,,"CC.4.R.L.7 Integration of Knowledge and Ideas: Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text."
4,RL,9,,"CC.4.R.L.9 Integration of Knowledge and Ideas: Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures."
4,RL,10,,"CC.4.R.L.10 Range of Reading and Complexity of Text: By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
5,RL,1,,CC.5.R.L.1 Key Ideas and Details: Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5,RL,2,,"CC.5.R.L.2 Key Ideas and Details: Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text."
5,RL,3,,"CC.5.R.L.3 Key Ideas and Details: Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact)."
5,RL,4,,"CC.5.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes."
5,RL,5,,"CC.5.R.L.5 Craft and Structure: Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem."
5,RL,6,,CC.5.R.L.6 Craft and Structure: Describe how a narrator’s or speaker’s point of view influences how events are described.
5,RL,7,,"CC.5.R.L.7 Integration of Knowledge and Ideas: Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel; multimedia presentation of fiction, folktale, myth, poem)."
5,RL,9,,"CC.5.R.L.9 Integration of Knowledge and Ideas: Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics."
5,RL,10,,"CC.5.R.L.10 Range of Reading and Complexity of Text: By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4–5 text complexity band independently and proficiently."
K,RI,1,,"CC.K.R.I.1 Key Ideas and Details: With prompting and support, ask and answer questions about key details in a text."
K,RI,2,,"CC.K.R.I.2 Key Ideas and Details: With prompting and support, identify the main topic and retell key details of a text."
K,RI,3,,"CC.K.R.I.3 Key Ideas and Details: With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
K,RI,4,,"CC.K.R.I.4 Craft and Structure: With prompting and support, ask and answer questions about unknown words in a text."
K,RI,5,,"CC.K.R.I.5 Craft and Structure: Identify the front cover, back cover, and title page of a book."
K,RI,6,,CC.K.R.I.6 Craft and Structure: Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
K,RI,7,,"CC.K.R.I.7 Integration of Knowledge and Ideas: With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
K,RI,8,,"CC.K.R.I.8 Integration of Knowledge and Ideas: With prompting and support, identify the reasons an author gives to support points in a text."
K,RI,9,,"CC.K.R.I.9 Integration of Knowledge and Ideas: With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
K,RI,10,,CC.K.R.I.10 Range of Reading and Level of Text Complexity: Actively engage in group reading activities with purpose and understanding.
1,RI,1,,CC.1.R.I.1 Key Ideas and Details: Ask and answer questions about key details in a text.
1,RI,2,,CC.1.R.I.2 Key Ideas and Details: Identify the main topic and retell key details of a text.
1,RI,3,,"CC.1.R.I.3 Key Ideas and Details: Describe the connection between two individuals, events, ideas, or pieces of information in a text."
1,RI,4,,CC.1.R.I.4 Craft and Structure: Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
1,RI,5,,"CC.1.R.I.5 Craft and Structure: Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
1,RI,6,,CC.1.R.I.6 Craft and Structure: Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
1,RI,7,,CC.1.R.I.7 Integration of Knowledge and Ideas: Use the illustrations and details in a text to describe its key ideas.
1,RI,8,,CC.1.R.I.8 Integration of Knowledge and Ideas: Identify the reasons an author gives to support points in a text.
1,RI,9,,"CC.1.R.I.9 Integration of Knowledge and Ideas: Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
