Grade,COURSE,Domain or Conceptual Theme,Cluster,Standard #,Standard
K,,CC,A,1,CC.K.CC.1 Know number names and the count sequence. Count to 100 by ones and by tens. 
K,,CC,A,2,"CC.K.CC.2 Know number names and the count sequence. Count forward beginning from a given number within the known sequence (instead of having to begin at 1).
"
K,,CC,A,3,CC.K.CC.3 Know number names and the count sequence. Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).
K,,CC,B,4,CC.K.CC.4 Count to tell the number of objects. Understand the relationship between numbers and quantities; connect counting to cardinality. 
K,,CC,B,4a,"CC.K.CC.4a When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
K,,CC,B,4b,CC.K.CC.4b Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.
K,,CC,B,4c,CC.K.CC.4c Understand that each successive number name refers to a quantity that is one larger. 
K,,CC,B,5,"CC.K.CC.5 Count to tell the number of objects. Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects."
K,,CC,C ,6,"CC.K.CC.6 Compare numbers. Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.  (Include groups with up to ten objects.)"
K,,CC,C,7,CC.K.CC.7 Compare numbers. Compare two numbers between 1 and 10 presented as written numerals.
K,,OA,A,1,"CC.K.OA.1 Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.  Represent addition and subtraction with objects, fingers, mental images, drawings (drawings need not show details, but should show the mathematics in the problem),  sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations. "
K,,OA,A,2,"CC.K.OA.2 Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from. Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
K,,OA,A,3,"CC.K.OA.3 Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from. Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1). "
K,,OA,A,4,"CC.K.OA.4 Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from. For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
K,,OA,A,5,"CC.K.OA.5 Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from. Fluently add and subtract within 5."
K,,NBT,A,1,"CC.K.NBT.1 Work with numbers 11-19 to gain foundations for place value. Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones. "
K,,MD,A,1,"CC.K.MD.1 Describe and compare measurable attributes.  Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
K,,MD,A,2,"CC.K.MD.2 Describe and compare measurable attributes. Directly compare two objects with a measurable attribute in common, to see which object has “more of”/“less of” the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."
K,,MD,B,3,CC.K.MD.3 Classify objects and count the number of objects in each category. Classify objects into given categories; count the numbers of objects in each category and sort the categories by count. (Limit category counts to be less than or equal to 10.)
K,,G,A,1,"CC.K.G.1 Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres). Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."
K,,G,A,2,"CC.K.G.2 Identify and describe shapes (such as squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres). Correctly name shapes regardless of their orientations or overall size."
K,,G,A,3,"CC.K.G.3 Identify and describe shapes (such as squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres). Identify shapes as two-dimensional (lying in a plane, “flat”) or three-dimensional (“solid”)."
K,,G,B,4,"CC.K.G.4 Analyze, compare, create, and compose shapes. Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/“corners”) and other attributes (e.g., having sides of equal length)."
K,,G,B,5,"CC.K.G.5 Analyze, compare, create, and compose shapes. Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."
K,,G,B,6,"CC.K.G.6 Analyze, compare, create, and compose shapes. Compose simple shapes to form larger shapes. For example, ""can you join these two triangles with full sides touching to make a rectangle?”"
1,,OA,A,1,"CC.1.OA.1 Represent and solve problems involving addition and subtraction. Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem. "
1,,OA,A,2,"CC.1.OA.2 Represent and solve problems involving addition and subtraction. Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."
1,,OA,B,3,"CC.1.OA.3 Understand and apply properties of operations and the relationship between addition and subtraction. Apply properties of operations as strategies to add and subtract.   Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.)  To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.) (Students need not use formal terms for these properties.)"
